time_utc,temperature_2m,relative_humidity_2m,dew_point_2m,windspeed_10m,windgusts_10m,winddirection_10m,precipitation,surface_pressure,latitude,longitude,lat_round,lon_round,time_hour
2025-09-07 00:00:00+00:00,25.5,62.0,17.6,14.7,27.7,219.0,0.0,971.9,38.81,-5.0,38.8,-5.0,2025-09-07 00:00:00+00:00
2025-09-07 01:00:00+00:00,24.6,66.0,17.8,11.7,24.8,211.0,0.0,972.0,38.81,-5.0,38.8,-5.0,2025-09-07 01:00:00+00:00
2025-09-07 02:00:00+00:00,23.5,70.0,17.6,9.1,23.4,205.0,0.0,971.5,38.81,-5.0,38.8,-5.0,2025-09-07 02:00:00+00:00
2025-09-07 03:00:00+00:00,22.6,74.0,17.6,7.1,22.3,223.0,0.0,971.6,38.81,-5.0,38.8,-5.0,2025-09-07 03:00:00+00:00
2025-09-07 04:00:00+00:00,21.7,76.0,17.3,5.2,20.2,221.0,0.0,971.8,38.81,-5.0,38.8,-5.0,2025-09-07 04:00:00+00:00
2025-09-07 05:00:00+00:00,21.1,78.0,17.2,4.6,16.6,211.0,0.0,971.9,38.81,-5.0,38.8,-5.0,2025-09-07 05:00:00+00:00
2025-09-07 06:00:00+00:00,20.4,80.0,16.9,5.2,11.9,209.0,0.0,972.5,38.81,-5.0,38.8,-5.0,2025-09-07 06:00:00+00:00
2025-09-07 07:00:00+00:00,20.9,79.0,17.1,7.7,16.9,201.0,0.0,973.4,38.81,-5.0,38.8,-5.0,2025-09-07 07:00:00+00:00
2025-09-07 08:00:00+00:00,22.0,72.0,16.8,6.5,17.6,186.0,0.0,973.3,38.81,-5.0,38.8,-5.0,2025-09-07 08:00:00+00:00
2025-09-07 09:00:00+00:00,23.6,62.0,15.9,5.2,18.0,186.0,0.0,973.8,38.81,-5.0,38.8,-5.0,2025-09-07 09:00:00+00:00
2025-09-07 10:00:00+00:00,25.4,52.0,14.9,4.5,18.7,214.0,0.0,974.4,38.81,-5.0,38.8,-5.0,2025-09-07 10:00:00+00:00
2025-09-07 11:00:00+00:00,26.6,47.0,14.3,7.5,22.7,250.0,0.0,974.6,38.81,-5.0,38.8,-5.0,2025-09-07 11:00:00+00:00
2025-09-07 12:00:00+00:00,27.4,43.0,13.6,10.2,27.0,263.0,0.0,974.9,38.81,-5.0,38.8,-5.0,2025-09-07 12:00:00+00:00
2025-09-07 13:00:00+00:00,27.9,40.0,13.1,9.2,28.8,258.0,0.0,974.3,38.81,-5.0,38.8,-5.0,2025-09-07 13:00:00+00:00
2025-09-07 14:00:00+00:00,28.3,37.0,12.2,8.9,29.2,262.0,0.0,974.1,38.81,-5.0,38.8,-5.0,2025-09-07 14:00:00+00:00
2025-09-07 15:00:00+00:00,28.6,34.0,11.3,9.5,27.0,279.0,0.0,973.8,38.81,-5.0,38.8,-5.0,2025-09-07 15:00:00+00:00
2025-09-07 16:00:00+00:00,27.8,37.0,11.7,10.6,26.3,298.0,0.0,973.6,38.81,-5.0,38.8,-5.0,2025-09-07 16:00:00+00:00
2025-09-07 17:00:00+00:00,26.5,43.0,12.8,11.0,28.1,308.0,0.0,973.5,38.81,-5.0,38.8,-5.0,2025-09-07 17:00:00+00:00
2025-09-07 18:00:00+00:00,25.2,49.0,13.6,9.7,25.9,318.0,0.0,973.2,38.81,-5.0,38.8,-5.0,2025-09-07 18:00:00+00:00
2025-09-07 19:00:00+00:00,24.4,54.0,14.5,8.4,17.3,325.0,0.0,973.3,38.81,-5.0,38.8,-5.0,2025-09-07 19:00:00+00:00
2025-09-07 20:00:00+00:00,23.9,58.0,15.0,8.3,15.1,319.0,0.0,973.5,38.81,-5.0,38.8,-5.0,2025-09-07 20:00:00+00:00
2025-09-07 21:00:00+00:00,23.2,61.0,15.3,8.1,14.0,321.0,0.0,973.8,38.81,-5.0,38.8,-5.0,2025-09-07 21:00:00+00:00
2025-09-07 22:00:00+00:00,22.9,62.0,15.2,7.4,13.0,317.0,0.0,973.6,38.81,-5.0,38.8,-5.0,2025-09-07 22:00:00+00:00
2025-09-07 23:00:00+00:00,22.0,67.0,15.6,6.8,10.8,310.0,0.0,973.3,38.81,-5.0,38.8,-5.0,2025-09-07 23:00:00+00:00
2025-09-08 00:00:00+00:00,21.3,72.0,16.0,5.5,9.7,297.0,0.0,973.2,38.81,-5.0,38.8,-5.0,2025-09-08 00:00:00+00:00
2025-09-08 01:00:00+00:00,20.9,74.0,16.1,5.3,9.0,282.0,0.0,973.4,38.81,-5.0,38.8,-5.0,2025-09-08 01:00:00+00:00
2025-09-08 02:00:00+00:00,20.2,77.0,15.9,5.1,7.9,287.0,0.0,973.0,38.81,-5.0,38.8,-5.0,2025-09-08 02:00:00+00:00
2025-09-08 03:00:00+00:00,19.5,80.0,15.9,4.9,7.2,287.0,0.0,972.5,38.81,-5.0,38.8,-5.0,2025-09-08 03:00:00+00:00
2025-09-08 04:00:00+00:00,19.0,82.0,15.9,5.4,7.6,284.0,0.0,972.3,38.81,-5.0,38.8,-5.0,2025-09-08 04:00:00+00:00
2025-09-08 05:00:00+00:00,18.9,82.0,15.7,5.8,7.9,284.0,0.0,972.4,38.81,-5.0,38.8,-5.0,2025-09-08 05:00:00+00:00
2025-09-08 06:00:00+00:00,18.4,83.0,15.4,5.0,7.6,283.0,0.0,972.3,38.81,-5.0,38.8,-5.0,2025-09-08 06:00:00+00:00
2025-09-08 07:00:00+00:00,19.1,79.0,15.4,6.1,13.7,293.0,0.0,973.0,38.81,-5.0,38.8,-5.0,2025-09-08 07:00:00+00:00
2025-09-08 08:00:00+00:00,21.2,70.0,15.5,6.7,17.3,297.0,0.0,973.1,38.81,-5.0,38.8,-5.0,2025-09-08 08:00:00+00:00
2025-09-08 09:00:00+00:00,23.4,62.0,15.6,7.2,19.8,295.0,0.0,973.6,38.81,-5.0,38.8,-5.0,2025-09-08 09:00:00+00:00
2025-09-08 10:00:00+00:00,24.6,54.0,14.8,6.7,22.7,284.0,0.0,973.9,38.81,-5.0,38.8,-5.0,2025-09-08 10:00:00+00:00
2025-09-08 11:00:00+00:00,26.1,51.0,15.3,7.4,24.8,270.0,0.0,973.5,38.81,-5.0,38.8,-5.0,2025-09-08 11:00:00+00:00
2025-09-08 12:00:00+00:00,27.3,47.0,15.1,9.6,29.2,266.0,0.0,973.4,38.81,-5.0,38.8,-5.0,2025-09-08 12:00:00+00:00
2025-09-08 13:00:00+00:00,28.1,44.0,14.6,12.2,32.0,262.0,0.0,972.9,38.81,-5.0,38.8,-5.0,2025-09-08 13:00:00+00:00
2025-09-08 14:00:00+00:00,28.8,37.0,12.9,13.2,33.8,267.0,0.0,972.6,38.81,-5.0,38.8,-5.0,2025-09-08 14:00:00+00:00
2025-09-08 15:00:00+00:00,28.7,33.0,10.7,14.5,34.9,276.0,0.0,971.7,38.81,-5.0,38.8,-5.0,2025-09-08 15:00:00+00:00
2025-09-08 16:00:00+00:00,28.6,29.0,8.9,15.1,35.3,282.0,0.0,971.8,38.81,-5.0,38.8,-5.0,2025-09-08 16:00:00+00:00
2025-09-08 17:00:00+00:00,27.6,30.0,8.4,14.9,33.1,285.0,0.0,971.1,38.81,-5.0,38.8,-5.0,2025-09-08 17:00:00+00:00
2025-09-08 18:00:00+00:00,26.2,31.0,7.8,13.4,26.6,290.0,0.0,971.4,38.81,-5.0,38.8,-5.0,2025-09-08 18:00:00+00:00
2025-09-08 19:00:00+00:00,24.4,33.0,7.3,9.7,19.8,289.0,0.0,971.3,38.81,-5.0,38.8,-5.0,2025-09-08 19:00:00+00:00
2025-09-08 20:00:00+00:00,23.0,38.0,7.8,8.4,17.3,286.0,0.0,971.6,38.81,-5.0,38.8,-5.0,2025-09-08 20:00:00+00:00
2025-09-08 21:00:00+00:00,22.0,39.0,7.4,8.3,16.6,283.0,0.0,971.9,38.81,-5.0,38.8,-5.0,2025-09-08 21:00:00+00:00
2025-09-08 22:00:00+00:00,21.0,43.0,7.8,8.9,17.3,278.0,0.0,971.9,38.81,-5.0,38.8,-5.0,2025-09-08 22:00:00+00:00
2025-09-08 23:00:00+00:00,20.2,43.0,7.1,9.6,19.1,273.0,0.0,971.6,38.81,-5.0,38.8,-5.0,2025-09-08 23:00:00+00:00
2025-09-09 00:00:00+00:00,,,,,,,,,38.81,-5.0,38.8,-5.0,2025-09-09 00:00:00+00:00
2025-09-09 01:00:00+00:00,,,,,,,,,38.81,-5.0,38.8,-5.0,2025-09-09 01:00:00+00:00
2025-09-09 02:00:00+00:00,,,,,,,,,38.81,-5.0,38.8,-5.0,2025-09-09 02:00:00+00:00
2025-09-09 03:00:00+00:00,,,,,,,,,38.81,-5.0,38.8,-5.0,2025-09-09 03:00:00+00:00
2025-09-09 04:00:00+00:00,,,,,,,,,38.81,-5.0,38.8,-5.0,2025-09-09 04:00:00+00:00
2025-09-09 05:00:00+00:00,,,,,,,,,38.81,-5.0,38.8,-5.0,2025-09-09 05:00:00+00:00
