time_utc,temperature_2m,relative_humidity_2m,dew_point_2m,windspeed_10m,windgusts_10m,winddirection_10m,precipitation,surface_pressure,latitude,longitude,lat_round,lon_round,time_hour
2025-09-07 00:00:00+00:00,24.9,59.0,16.4,16.1,31.3,212.0,0.0,955.0,38.8,-4.96,38.8,-5.0,2025-09-07 00:00:00+00:00
2025-09-07 01:00:00+00:00,24.0,63.0,16.5,14.3,29.9,207.0,0.0,955.0,38.8,-4.96,38.8,-5.0,2025-09-07 01:00:00+00:00
2025-09-07 02:00:00+00:00,22.9,67.0,16.4,11.9,30.2,200.0,0.0,954.5,38.8,-4.96,38.8,-5.0,2025-09-07 02:00:00+00:00
2025-09-07 03:00:00+00:00,21.8,72.0,16.5,9.6,30.2,206.0,0.0,954.2,38.8,-4.96,38.8,-5.0,2025-09-07 03:00:00+00:00
2025-09-07 04:00:00+00:00,20.8,75.0,16.2,7.8,27.4,209.0,0.0,954.5,38.8,-4.96,38.8,-5.0,2025-09-07 04:00:00+00:00
2025-09-07 05:00:00+00:00,20.0,78.0,16.0,6.9,19.8,200.0,0.0,954.4,38.8,-4.96,38.8,-5.0,2025-09-07 05:00:00+00:00
2025-09-07 06:00:00+00:00,18.7,82.0,15.6,5.9,13.7,211.0,0.0,955.0,38.8,-4.96,38.8,-5.0,2025-09-07 06:00:00+00:00
2025-09-07 07:00:00+00:00,19.9,78.0,15.9,7.4,18.0,209.0,0.0,956.1,38.8,-4.96,38.8,-5.0,2025-09-07 07:00:00+00:00
2025-09-07 08:00:00+00:00,21.4,67.0,15.0,7.1,19.4,199.0,0.0,956.1,38.8,-4.96,38.8,-5.0,2025-09-07 08:00:00+00:00
2025-09-07 09:00:00+00:00,23.6,53.0,13.5,6.2,20.2,190.0,0.0,956.6,38.8,-4.96,38.8,-5.0,2025-09-07 09:00:00+00:00
2025-09-07 10:00:00+00:00,25.9,42.0,12.0,5.4,22.3,206.0,0.0,957.3,38.8,-4.96,38.8,-5.0,2025-09-07 10:00:00+00:00
2025-09-07 11:00:00+00:00,27.5,37.0,11.4,7.8,25.9,220.0,0.0,957.2,38.8,-4.96,38.8,-5.0,2025-09-07 11:00:00+00:00
2025-09-07 12:00:00+00:00,28.5,34.0,11.2,10.8,29.9,252.0,0.0,957.5,38.8,-4.96,38.8,-5.0,2025-09-07 12:00:00+00:00
2025-09-07 13:00:00+00:00,29.1,33.0,11.0,9.7,30.6,260.0,0.0,957.1,38.8,-4.96,38.8,-5.0,2025-09-07 13:00:00+00:00
2025-09-07 14:00:00+00:00,29.6,29.0,9.9,8.0,29.9,260.0,0.0,956.9,38.8,-4.96,38.8,-5.0,2025-09-07 14:00:00+00:00
2025-09-07 15:00:00+00:00,30.2,26.0,8.4,9.2,28.1,272.0,0.0,956.6,38.8,-4.96,38.8,-5.0,2025-09-07 15:00:00+00:00
2025-09-07 16:00:00+00:00,29.7,26.0,8.2,9.4,25.9,288.0,0.0,956.3,38.8,-4.96,38.8,-5.0,2025-09-07 16:00:00+00:00
