time_utc,temperature_2m,relative_humidity_2m,dew_point_2m,windspeed_10m,windgusts_10m,winddirection_10m,precipitation,surface_pressure,latitude,longitude,lat_round,lon_round,time_hour
2025-09-07 00:00:00+00:00,26.4,80.0,22.6,9.7,17.6,165.0,0.0,1004.5,36.13,1.24,36.1,1.2,2025-09-07 00:00:00+00:00
2025-09-07 01:00:00+00:00,25.7,83.0,22.7,10.8,19.4,222.0,0.0,1004.7,36.13,1.24,36.1,1.2,2025-09-07 01:00:00+00:00
2025-09-07 02:00:00+00:00,25.3,88.0,23.2,14.4,17.3,258.0,0.0,1004.9,36.13,1.24,36.1,1.2,2025-09-07 02:00:00+00:00
2025-09-07 03:00:00+00:00,25.0,92.0,23.5,11.7,15.8,239.0,0.0,1004.9,36.13,1.24,36.1,1.2,2025-09-07 03:00:00+00:00
2025-09-07 04:00:00+00:00,25.0,92.0,23.5,10.3,15.5,221.0,0.0,1004.8,36.13,1.24,36.1,1.2,2025-09-07 04:00:00+00:00
2025-09-07 05:00:00+00:00,25.3,90.0,23.6,8.9,15.5,209.0,0.0,1004.7,36.13,1.24,36.1,1.2,2025-09-07 05:00:00+00:00
2025-09-07 06:00:00+00:00,25.7,91.0,24.1,7.6,19.1,218.0,0.0,1005.0,36.13,1.24,36.1,1.2,2025-09-07 06:00:00+00:00
2025-09-07 07:00:00+00:00,25.9,90.0,24.2,7.5,15.5,230.0,0.0,1005.6,36.13,1.24,36.1,1.2,2025-09-07 07:00:00+00:00
2025-09-07 08:00:00+00:00,27.0,89.0,25.0,7.6,16.6,243.0,0.0,1005.9,36.13,1.24,36.1,1.2,2025-09-07 08:00:00+00:00
2025-09-07 09:00:00+00:00,27.7,81.0,24.1,9.5,19.8,259.0,0.0,1006.4,36.13,1.24,36.1,1.2,2025-09-07 09:00:00+00:00
2025-09-07 10:00:00+00:00,30.2,62.0,22.2,9.5,22.0,260.0,0.0,1006.4,36.13,1.24,36.1,1.2,2025-09-07 10:00:00+00:00
2025-09-07 11:00:00+00:00,30.4,60.0,21.7,11.8,23.4,286.0,0.0,1006.3,36.13,1.24,36.1,1.2,2025-09-07 11:00:00+00:00
