time_utc,temperature_2m,relative_humidity_2m,dew_point_2m,windspeed_10m,windgusts_10m,winddirection_10m,precipitation,surface_pressure,latitude,longitude,lat_round,lon_round,time_hour
2025-09-07 00:00:00+00:00,26.4,93.0,25.2,6.6,9.7,283.0,0.0,1013.6,35.8,-0.24,35.8,-0.2,2025-09-07 00:00:00+00:00
2025-09-07 01:00:00+00:00,26.6,90.0,24.8,6.5,9.0,298.0,0.0,1013.4,35.8,-0.24,35.8,-0.2,2025-09-07 01:00:00+00:00
2025-09-07 02:00:00+00:00,26.6,90.0,24.8,2.7,7.6,242.0,0.0,1013.0,35.8,-0.24,35.8,-0.2,2025-09-07 02:00:00+00:00
2025-09-07 03:00:00+00:00,26.0,93.0,24.8,5.1,10.1,184.0,0.0,1012.7,35.8,-0.24,35.8,-0.2,2025-09-07 03:00:00+00:00
2025-09-07 04:00:00+00:00,25.8,94.0,24.8,5.0,13.0,182.0,0.0,1012.5,35.8,-0.24,35.8,-0.2,2025-09-07 04:00:00+00:00
2025-09-07 05:00:00+00:00,26.3,91.0,24.7,4.4,13.3,150.0,0.0,1012.2,35.8,-0.24,35.8,-0.2,2025-09-07 05:00:00+00:00
2025-09-07 06:00:00+00:00,26.5,93.0,25.2,3.8,11.9,135.0,0.0,1012.3,35.8,-0.24,35.8,-0.2,2025-09-07 06:00:00+00:00
2025-09-07 07:00:00+00:00,26.0,89.0,24.1,1.9,7.9,124.0,0.0,1012.9,35.8,-0.24,35.8,-0.2,2025-09-07 07:00:00+00:00
2025-09-07 08:00:00+00:00,27.4,84.0,24.4,0.4,10.1,27.0,0.0,1013.3,35.8,-0.24,35.8,-0.2,2025-09-07 08:00:00+00:00
2025-09-07 09:00:00+00:00,27.7,78.0,23.5,2.5,14.0,315.0,0.0,1013.5,35.8,-0.24,35.8,-0.2,2025-09-07 09:00:00+00:00
2025-09-07 10:00:00+00:00,29.8,64.0,22.2,3.2,18.0,357.0,0.0,1013.6,35.8,-0.24,35.8,-0.2,2025-09-07 10:00:00+00:00
2025-09-07 11:00:00+00:00,30.2,62.0,22.1,5.6,21.2,354.0,0.0,1013.1,35.8,-0.24,35.8,-0.2,2025-09-07 11:00:00+00:00
2025-09-07 12:00:00+00:00,30.1,62.0,22.0,11.0,22.3,2.0,0.0,1012.5,35.8,-0.24,35.8,-0.2,2025-09-07 12:00:00+00:00
2025-09-07 13:00:00+00:00,30.6,60.0,22.0,12.4,24.1,13.0,0.0,1011.5,35.8,-0.24,35.8,-0.2,2025-09-07 13:00:00+00:00
2025-09-07 14:00:00+00:00,31.3,59.0,22.3,11.7,27.4,44.0,0.0,1011.4,35.8,-0.24,35.8,-0.2,2025-09-07 14:00:00+00:00
2025-09-07 15:00:00+00:00,31.1,60.0,22.5,0.7,25.9,284.0,0.0,1011.6,35.8,-0.24,35.8,-0.2,2025-09-07 15:00:00+00:00
2025-09-07 16:00:00+00:00,30.5,62.0,22.4,1.3,15.1,45.0,0.0,1011.4,35.8,-0.24,35.8,-0.2,2025-09-07 16:00:00+00:00
2025-09-07 17:00:00+00:00,29.1,70.0,23.1,5.5,11.9,52.0,0.0,1011.4,35.8,-0.24,35.8,-0.2,2025-09-07 17:00:00+00:00
2025-09-07 18:00:00+00:00,29.4,67.0,22.6,7.0,19.8,58.0,0.0,1011.7,35.8,-0.24,35.8,-0.2,2025-09-07 18:00:00+00:00
2025-09-07 19:00:00+00:00,29.1,70.0,23.0,5.7,17.3,72.0,0.0,1011.8,35.8,-0.24,35.8,-0.2,2025-09-07 19:00:00+00:00
2025-09-07 20:00:00+00:00,28.9,75.0,24.0,4.5,14.8,85.0,0.0,1012.4,35.8,-0.24,35.8,-0.2,2025-09-07 20:00:00+00:00
2025-09-07 21:00:00+00:00,28.0,79.0,24.1,2.6,14.8,102.0,0.0,1012.3,35.8,-0.24,35.8,-0.2,2025-09-07 21:00:00+00:00
2025-09-07 22:00:00+00:00,28.3,66.0,21.3,2.3,17.3,141.0,0.0,1012.1,35.8,-0.24,35.8,-0.2,2025-09-07 22:00:00+00:00
2025-09-07 23:00:00+00:00,28.9,57.0,19.6,4.7,18.7,208.0,0.0,1012.2,35.8,-0.24,35.8,-0.2,2025-09-07 23:00:00+00:00
2025-09-08 00:00:00+00:00,28.5,60.0,19.9,6.0,18.4,243.0,0.0,1011.9,35.8,-0.24,35.8,-0.2,2025-09-08 00:00:00+00:00
2025-09-08 01:00:00+00:00,27.9,64.0,20.3,6.5,18.4,270.0,0.0,1011.7,35.8,-0.24,35.8,-0.2,2025-09-08 01:00:00+00:00
2025-09-08 02:00:00+00:00,27.0,70.0,20.9,5.8,17.3,272.0,0.0,1011.1,35.8,-0.24,35.8,-0.2,2025-09-08 02:00:00+00:00
2025-09-08 03:00:00+00:00,25.9,79.0,21.9,4.3,14.0,270.0,0.0,1010.8,35.8,-0.24,35.8,-0.2,2025-09-08 03:00:00+00:00
2025-09-08 04:00:00+00:00,25.7,81.0,22.2,3.0,11.9,256.0,0.0,1010.8,35.8,-0.24,35.8,-0.2,2025-09-08 04:00:00+00:00
2025-09-08 05:00:00+00:00,25.7,82.0,22.4,2.3,11.5,241.0,0.0,1010.9,35.8,-0.24,35.8,-0.2,2025-09-08 05:00:00+00:00
2025-09-08 06:00:00+00:00,25.7,82.0,22.4,2.7,12.6,247.0,0.0,1011.1,35.8,-0.24,35.8,-0.2,2025-09-08 06:00:00+00:00
2025-09-08 07:00:00+00:00,25.5,83.0,22.3,4.1,11.2,257.0,0.0,1011.8,35.8,-0.24,35.8,-0.2,2025-09-08 07:00:00+00:00
2025-09-08 08:00:00+00:00,27.9,73.0,22.7,5.2,13.7,266.0,0.0,1011.7,35.8,-0.24,35.8,-0.2,2025-09-08 08:00:00+00:00
2025-09-08 09:00:00+00:00,28.5,68.0,22.0,6.2,15.5,280.0,0.0,1012.0,35.8,-0.24,35.8,-0.2,2025-09-08 09:00:00+00:00
2025-09-08 10:00:00+00:00,30.4,62.0,22.4,7.3,17.6,303.0,0.0,1011.9,35.8,-0.24,35.8,-0.2,2025-09-08 10:00:00+00:00
2025-09-08 11:00:00+00:00,31.1,58.0,21.8,7.3,20.5,310.0,0.0,1011.6,35.8,-0.24,35.8,-0.2,2025-09-08 11:00:00+00:00
2025-09-08 12:00:00+00:00,31.4,55.0,21.4,8.2,22.0,320.0,0.0,1011.2,35.8,-0.24,35.8,-0.2,2025-09-08 12:00:00+00:00
2025-09-08 13:00:00+00:00,31.7,53.0,21.0,9.2,26.3,325.0,0.0,1010.5,35.8,-0.24,35.8,-0.2,2025-09-08 13:00:00+00:00
2025-09-08 14:00:00+00:00,31.1,55.0,21.0,10.3,29.9,327.0,0.0,1010.2,35.8,-0.24,35.8,-0.2,2025-09-08 14:00:00+00:00
2025-09-08 15:00:00+00:00,31.4,52.0,20.3,9.9,27.4,325.0,0.0,1009.6,35.8,-0.24,35.8,-0.2,2025-09-08 15:00:00+00:00
2025-09-08 16:00:00+00:00,30.3,56.0,20.5,8.7,19.8,317.0,0.0,1009.9,35.8,-0.24,35.8,-0.2,2025-09-08 16:00:00+00:00
