time_utc,temperature_2m,relative_humidity_2m,dew_point_2m,windspeed_10m,windgusts_10m,winddirection_10m,precipitation,surface_pressure,latitude,longitude,lat_round,lon_round,time_hour
2025-09-07 00:00:00+00:00,27.1,35.0,10.1,9.6,22.7,140.0,0.0,914.2,35.34,1.36,35.3,1.4,2025-09-07 00:00:00+00:00
2025-09-07 01:00:00+00:00,26.8,32.0,8.8,9.6,22.0,159.0,0.0,914.0,35.34,1.36,35.3,1.4,2025-09-07 01:00:00+00:00
2025-09-07 02:00:00+00:00,26.9,32.0,8.6,9.6,20.9,171.0,0.0,913.9,35.34,1.36,35.3,1.4,2025-09-07 02:00:00+00:00
2025-09-07 03:00:00+00:00,26.2,34.0,9.1,8.5,19.1,173.0,0.0,913.5,35.34,1.36,35.3,1.4,2025-09-07 03:00:00+00:00
2025-09-07 04:00:00+00:00,25.7,35.0,9.0,7.6,18.7,173.0,0.0,913.3,35.34,1.36,35.3,1.4,2025-09-07 04:00:00+00:00
2025-09-07 05:00:00+00:00,25.6,35.0,8.8,7.6,17.6,176.0,0.0,913.2,35.34,1.36,35.3,1.4,2025-09-07 05:00:00+00:00
2025-09-07 06:00:00+00:00,25.8,35.0,9.1,8.3,15.8,182.0,0.0,913.5,35.34,1.36,35.3,1.4,2025-09-07 06:00:00+00:00
2025-09-07 07:00:00+00:00,26.6,33.0,8.9,9.6,21.2,188.0,0.0,914.4,35.34,1.36,35.3,1.4,2025-09-07 07:00:00+00:00
2025-09-07 08:00:00+00:00,29.8,28.0,9.6,10.3,27.4,205.0,0.0,915.5,35.34,1.36,35.3,1.4,2025-09-07 08:00:00+00:00
2025-09-07 09:00:00+00:00,30.4,27.0,9.4,12.2,32.4,224.0,0.0,915.6,35.34,1.36,35.3,1.4,2025-09-07 09:00:00+00:00
2025-09-07 10:00:00+00:00,31.9,29.0,11.5,12.6,43.9,223.0,0.0,916.3,35.34,1.36,35.3,1.4,2025-09-07 10:00:00+00:00
2025-09-07 11:00:00+00:00,32.7,27.0,11.3,14.0,41.4,228.0,0.0,916.0,35.34,1.36,35.3,1.4,2025-09-07 11:00:00+00:00
2025-09-07 12:00:00+00:00,33.0,26.0,11.1,14.9,40.7,221.0,0.0,915.3,35.34,1.36,35.3,1.4,2025-09-07 12:00:00+00:00
2025-09-07 13:00:00+00:00,32.4,26.0,10.4,17.5,37.1,209.0,0.1,913.9,35.34,1.36,35.3,1.4,2025-09-07 13:00:00+00:00
2025-09-07 14:00:00+00:00,29.6,36.0,13.1,21.1,24.5,224.0,1.2,913.7,35.34,1.36,35.3,1.4,2025-09-07 14:00:00+00:00
2025-09-07 15:00:00+00:00,30.6,34.0,13.1,18.3,21.2,245.0,0.0,914.4,35.34,1.36,35.3,1.4,2025-09-07 15:00:00+00:00
2025-09-07 16:00:00+00:00,31.3,30.0,11.8,13.8,16.6,244.0,0.0,914.3,35.34,1.36,35.3,1.4,2025-09-07 16:00:00+00:00
2025-09-07 17:00:00+00:00,28.3,41.0,14.0,12.4,25.9,249.0,1.3,914.0,35.34,1.36,35.3,1.4,2025-09-07 17:00:00+00:00
