time_utc,temperature_2m,relative_humidity_2m,dew_point_2m,windspeed_10m,windgusts_10m,winddirection_10m,precipitation,surface_pressure,latitude,longitude,lat_round,lon_round,time_hour
2025-09-07 00:00:00+00:00,20.1,49.0,9.0,7.6,18.7,135.0,0.0,917.6,40.72,-3.6,40.7,-3.6,2025-09-07 00:00:00+00:00
2025-09-07 01:00:00+00:00,20.7,51.0,10.1,9.0,19.8,147.0,0.0,917.9,40.72,-3.6,40.7,-3.6,2025-09-07 01:00:00+00:00
2025-09-07 02:00:00+00:00,20.1,54.0,10.4,8.2,19.1,161.0,0.0,917.8,40.72,-3.6,40.7,-3.6,2025-09-07 02:00:00+00:00
2025-09-07 03:00:00+00:00,19.3,57.0,10.4,8.5,21.2,181.0,0.0,917.8,40.72,-3.6,40.7,-3.6,2025-09-07 03:00:00+00:00
2025-09-07 04:00:00+00:00,19.5,58.0,11.1,8.6,24.1,190.0,0.0,918.2,40.72,-3.6,40.7,-3.6,2025-09-07 04:00:00+00:00
2025-09-07 05:00:00+00:00,18.9,64.0,12.1,7.6,24.8,185.0,0.0,918.4,40.72,-3.6,40.7,-3.6,2025-09-07 05:00:00+00:00
2025-09-07 06:00:00+00:00,18.4,70.0,12.9,7.6,23.8,184.0,0.0,918.5,40.72,-3.6,40.7,-3.6,2025-09-07 06:00:00+00:00
2025-09-07 07:00:00+00:00,19.5,70.0,13.9,9.5,20.5,191.0,0.0,919.7,40.72,-3.6,40.7,-3.6,2025-09-07 07:00:00+00:00
2025-09-07 08:00:00+00:00,21.1,67.0,14.7,12.9,30.6,201.0,0.0,920.5,40.72,-3.6,40.7,-3.6,2025-09-07 08:00:00+00:00
2025-09-07 09:00:00+00:00,21.7,62.0,14.2,13.8,33.8,196.0,0.0,920.8,40.72,-3.6,40.7,-3.6,2025-09-07 09:00:00+00:00
2025-09-07 10:00:00+00:00,23.0,54.0,13.2,12.8,36.7,190.0,0.0,921.1,40.72,-3.6,40.7,-3.6,2025-09-07 10:00:00+00:00
2025-09-07 11:00:00+00:00,23.9,48.0,12.1,15.8,41.4,206.0,0.0,921.3,40.72,-3.6,40.7,-3.6,2025-09-07 11:00:00+00:00
2025-09-07 12:00:00+00:00,24.7,42.0,11.1,16.1,42.8,221.0,0.0,921.5,40.72,-3.6,40.7,-3.6,2025-09-07 12:00:00+00:00
2025-09-07 13:00:00+00:00,25.0,40.0,10.4,16.0,39.6,221.0,0.0,921.5,40.72,-3.6,40.7,-3.6,2025-09-07 13:00:00+00:00
2025-09-07 14:00:00+00:00,24.4,42.0,10.6,14.1,35.3,222.0,0.3,921.4,40.72,-3.6,40.7,-3.6,2025-09-07 14:00:00+00:00
2025-09-07 15:00:00+00:00,24.3,41.0,10.3,11.7,30.6,226.0,0.1,921.2,40.72,-3.6,40.7,-3.6,2025-09-07 15:00:00+00:00
2025-09-07 16:00:00+00:00,24.0,43.0,10.8,9.9,23.8,233.0,0.1,921.1,40.72,-3.6,40.7,-3.6,2025-09-07 16:00:00+00:00
2025-09-07 17:00:00+00:00,23.6,46.0,11.1,9.6,20.5,236.0,0.0,921.3,40.72,-3.6,40.7,-3.6,2025-09-07 17:00:00+00:00
2025-09-07 18:00:00+00:00,22.6,49.0,11.4,8.2,14.4,232.0,0.1,921.2,40.72,-3.6,40.7,-3.6,2025-09-07 18:00:00+00:00
2025-09-07 19:00:00+00:00,21.3,56.0,12.3,5.0,14.0,229.0,0.1,921.0,40.72,-3.6,40.7,-3.6,2025-09-07 19:00:00+00:00
2025-09-07 20:00:00+00:00,21.3,56.0,12.2,3.8,8.6,221.0,0.0,921.1,40.72,-3.6,40.7,-3.6,2025-09-07 20:00:00+00:00
2025-09-07 21:00:00+00:00,20.8,58.0,12.2,3.9,7.2,236.0,0.0,921.4,40.72,-3.6,40.7,-3.6,2025-09-07 21:00:00+00:00
2025-09-07 22:00:00+00:00,19.6,66.0,13.0,4.2,6.8,173.0,0.0,920.6,40.72,-3.6,40.7,-3.6,2025-09-07 22:00:00+00:00
2025-09-07 23:00:00+00:00,19.7,65.0,12.9,4.0,5.4,201.0,0.0,920.7,40.72,-3.6,40.7,-3.6,2025-09-07 23:00:00+00:00
2025-09-08 00:00:00+00:00,19.4,67.0,13.1,3.2,5.0,207.0,0.0,920.4,40.72,-3.6,40.7,-3.6,2025-09-08 00:00:00+00:00
2025-09-08 01:00:00+00:00,18.9,70.0,13.2,1.3,5.0,124.0,0.0,919.9,40.72,-3.6,40.7,-3.6,2025-09-08 01:00:00+00:00
2025-09-08 02:00:00+00:00,17.9,72.0,12.7,1.4,5.0,203.0,0.0,919.5,40.72,-3.6,40.7,-3.6,2025-09-08 02:00:00+00:00
2025-09-08 03:00:00+00:00,17.0,75.0,12.5,1.3,5.0,270.0,0.0,919.1,40.72,-3.6,40.7,-3.6,2025-09-08 03:00:00+00:00
2025-09-08 04:00:00+00:00,16.8,76.0,12.6,2.4,6.5,351.0,0.0,919.0,40.72,-3.6,40.7,-3.6,2025-09-08 04:00:00+00:00
2025-09-08 05:00:00+00:00,16.1,80.0,12.6,4.1,8.3,347.0,0.0,918.6,40.72,-3.6,40.7,-3.6,2025-09-08 05:00:00+00:00
2025-09-08 06:00:00+00:00,15.6,82.0,12.6,4.2,8.6,348.0,0.0,918.4,40.72,-3.6,40.7,-3.6,2025-09-08 06:00:00+00:00
2025-09-08 07:00:00+00:00,17.1,78.0,13.2,4.7,10.8,356.0,0.0,919.5,40.72,-3.6,40.7,-3.6,2025-09-08 07:00:00+00:00
