time_utc,temperature_2m,relative_humidity_2m,dew_point_2m,windspeed_10m,windgusts_10m,winddirection_10m,precipitation,surface_pressure,latitude,longitude,lat_round,lon_round,time_hour
2025-09-07 00:00:00+00:00,23.8,87.0,21.4,5.2,17.3,333.0,0.0,1015.6,35.15,-6.11,35.2,-6.1,2025-09-07 00:00:00+00:00
2025-09-07 01:00:00+00:00,23.3,90.0,21.5,6.8,4.7,320.0,0.0,1015.5,35.15,-6.11,35.2,-6.1,2025-09-07 01:00:00+00:00
2025-09-07 02:00:00+00:00,23.1,90.0,21.4,4.4,4.7,341.0,0.0,1015.0,35.15,-6.11,35.2,-6.1,2025-09-07 02:00:00+00:00
2025-09-07 03:00:00+00:00,22.6,93.0,21.4,5.2,6.5,29.0,0.0,1015.0,35.15,-6.11,35.2,-6.1,2025-09-07 03:00:00+00:00
2025-09-07 04:00:00+00:00,22.1,96.0,21.4,4.4,7.6,30.0,0.0,1015.2,35.15,-6.11,35.2,-6.1,2025-09-07 04:00:00+00:00
2025-09-07 05:00:00+00:00,22.6,94.0,21.5,4.0,7.9,27.0,0.0,1014.8,35.15,-6.11,35.2,-6.1,2025-09-07 05:00:00+00:00
2025-09-07 06:00:00+00:00,22.7,90.0,21.1,4.2,7.9,40.0,0.0,1014.6,35.15,-6.11,35.2,-6.1,2025-09-07 06:00:00+00:00
2025-09-07 07:00:00+00:00,23.5,87.0,21.2,6.1,10.8,14.0,0.0,1014.9,35.15,-6.11,35.2,-6.1,2025-09-07 07:00:00+00:00
2025-09-07 08:00:00+00:00,24.5,86.0,21.9,8.1,19.4,342.0,0.0,1015.2,35.15,-6.11,35.2,-6.1,2025-09-07 08:00:00+00:00
2025-09-07 09:00:00+00:00,25.8,78.0,21.7,11.0,24.8,342.0,0.0,1015.7,35.15,-6.11,35.2,-6.1,2025-09-07 09:00:00+00:00
2025-09-07 10:00:00+00:00,25.8,80.0,22.1,11.0,27.4,346.0,0.0,1015.9,35.15,-6.11,35.2,-6.1,2025-09-07 10:00:00+00:00
2025-09-07 11:00:00+00:00,26.1,80.0,22.3,10.1,28.4,354.0,0.0,1016.0,35.15,-6.11,35.2,-6.1,2025-09-07 11:00:00+00:00
2025-09-07 12:00:00+00:00,26.5,78.0,22.4,10.3,30.6,16.0,0.0,1015.5,35.15,-6.11,35.2,-6.1,2025-09-07 12:00:00+00:00
2025-09-07 13:00:00+00:00,27.2,74.0,22.2,8.3,29.9,359.0,0.0,1014.9,35.15,-6.11,35.2,-6.1,2025-09-07 13:00:00+00:00
2025-09-07 14:00:00+00:00,28.2,68.0,21.8,10.6,28.4,328.0,0.0,1014.9,35.15,-6.11,35.2,-6.1,2025-09-07 14:00:00+00:00
2025-09-07 15:00:00+00:00,28.1,68.0,21.6,14.1,29.9,333.0,0.0,1014.5,35.15,-6.11,35.2,-6.1,2025-09-07 15:00:00+00:00
2025-09-07 16:00:00+00:00,29.4,58.0,20.3,15.3,29.9,347.0,0.0,1014.1,35.15,-6.11,35.2,-6.1,2025-09-07 16:00:00+00:00
2025-09-07 17:00:00+00:00,29.1,57.0,19.8,13.3,24.1,360.0,0.0,1014.3,35.15,-6.11,35.2,-6.1,2025-09-07 17:00:00+00:00
2025-09-07 18:00:00+00:00,27.6,63.0,19.9,11.2,13.3,354.0,0.0,1014.2,35.15,-6.11,35.2,-6.1,2025-09-07 18:00:00+00:00
2025-09-07 19:00:00+00:00,26.0,67.0,19.4,11.7,20.9,346.0,0.0,1014.3,35.15,-6.11,35.2,-6.1,2025-09-07 19:00:00+00:00
2025-09-07 20:00:00+00:00,24.6,72.0,19.2,11.7,20.2,346.0,0.0,1015.0,35.15,-6.11,35.2,-6.1,2025-09-07 20:00:00+00:00
2025-09-07 21:00:00+00:00,23.3,78.0,19.3,11.4,20.9,344.0,0.0,1015.7,35.15,-6.11,35.2,-6.1,2025-09-07 21:00:00+00:00
